Date,^NSEI Open,^NSEI High,^NSEI Low,^NSEI Close,^NSEI Adj Close,BAJFINANCE.NS Open,BAJFINANCE.NS High,BAJFINANCE.NS Low,BAJFINANCE.NS Close,BAJFINANCE.NS Adj Close,HDFCBANK.NS Open,HDFCBANK.NS High,HDFCBANK.NS Low,HDFCBANK.NS Close,HDFCBANK.NS Adj Close,INFY.NS Open,INFY.NS High,INFY.NS Low,INFY.NS Close,INFY.NS Adj Close,NESTLEIND.NS Open,NESTLEIND.NS High,NESTLEIND.NS Low,NESTLEIND.NS Close,NESTLEIND.NS Adj Close
01/06/2021,15629.65039,15660.75,15528.29981,15574.84961,15574.84961,5644,5818,5625.399902,5784.799805,5775.467285,1520.300049,1527,1507.25,1511.699951,1505.185547,1400,1401,1378.650024,1387.199951,1375.014038,17599,17810,17479.15039,17758.5,17654.01758
02/06/2021,15520.34961,15597.4502,15459.84961,15576.2002,15576.2002,5756.5,5845,5742.549805,5808.649902,5799.278809,1510,1510.199951,1493,1504,1497.518677,1380.75,1391.949951,1365,1378.650024,1366.539185,17516.19922,17813.19922,17510.09961,17653.5,17549.63477
03/06/2021,15655.54981,15705.09961,15611,15690.34961,15690.34961,5840,5915,5780.149902,5901.5,5891.979492,1508,1524.949951,1487.75,1520.550049,1513.997437,1388.099976,1399,1377.050049,1389.650024,1377.442627,17650,17854.94922,17560,17799.40039,17694.67773
04/06/2021,15712.5,15733.59961,15622.34961,15670.25,15670.25,5915,6010,5900,5993.450195,5983.78125,1516,1520.650024,1499.199951,1500.949951,1494.481812,1393.949951,1396.900024,1377.650024,1385.650024,1373.477783,17691.05078,17706.40039,17380,17426.80078,17324.26953
07/06/2021,15725.09961,15773.4502,15678.09961,15751.65039,15751.65039,5800,5843.850098,5682.450195,5729.75,5720.506348,1510,1514,1496,1499.849976,1493.386597,1391,1392,1377.300049,1389.650024,1377.442627,17474.55078,17590,17353.5,17532.55078,17429.39844
08/06/2021,15773.90039,15778.79981,15680,15740.09961,15740.09961,5751,5817,5720.149902,5755.399902,5746.114746,1496.550049,1501.300049,1481.5,1483.050049,1476.659058,1396,1421.75,1395.550049,1412.949951,1400.537842,17530.05078,17612.94922,17403.40039,17482.59961,17379.74023
09/06/2021,15766.29981,15800.4502,15566.90039,15635.34961,15635.34961,5795,5795,5627.299805,5674.5,5665.345703,1483.900024,1502,1472.050049,1480.300049,1473.920898,1413.400024,1425,1404.599976,1415.300049,1402.86731,17460,17625.59961,17440,17557.15039,17453.85352
10/06/2021,15692.09961,15751.25,15648.5,15737.75,15737.75,5715,6115,5677,6086.399902,6076.581055,1482.099976,1489,1473.650024,1481.050049,1474.667725,1424,1429,1419,1424.300049,1411.788208,17525,17675,17490,17556.09961,17452.80859
11/06/2021,15796.4502,15835.54981,15749.79981,15799.34961,15799.34961,6105.350098,6230,6045.200195,6120,6110.126953,1491,1496.550049,1481.050049,1486.349976,1479.944824,1430.099976,1451.599976,1429.449951,1446.900024,1434.189697,17609,17609,17365,17536.40039,17433.22461
14/06/2021,15791.40039,15823.04981,15606.5,15811.84961,15811.84961,6069.700195,6249,5975.600098,6194.149902,6184.157227,1478.25,1486,1462.550049,1479.449951,1473.074463,1471,1477,1453.449951,1461.800049,1448.958862,17461.40039,17630,17417.59961,17577.5,17474.08203
15/06/2021,15866.9502,15901.59961,15842.40039,15869.25,15869.25,6219,6239.799805,6150,6161.149902,6151.210449,1486,1496,1474.800049,1490.25,1483.828003,1464,1476,1463,1473.900024,1460.952515,17646,17710,17511,17684.80078,17580.75195
16/06/2021,15847.5,15880.84961,15742.59961,15767.54981,15767.54981,6140,6160.899902,6062.799805,6081.600098,6071.789063,1488,1494,1478.099976,1484.599976,1478.202271,1472.699951,1489.449951,1467.5,1480.599976,1467.593628,17650.19922,18068.5,17613.05078,17965.19922,17859.5
17/06/2021,15648.29981,15769.34961,15616.75,15691.40039,15691.40039,5920,6115,5920,6050.25,6040.489258,1466,1478.75,1460,1466.099976,1459.781982,1475.099976,1502.650024,1475.099976,1495.300049,1482.164551,17915,18189.30078,17900,18059.05078,17952.80078
